Name,Phone_number,Line_name,Car_id,Boarding_station,Alighting_station,Date,Time,Booking_seat,Number_of_passengers,Booking_time,Up/Down,Day
4F38A236578E9BDF,ED43E6C34F38A236578E9BDF9BB47750,112B56F25E1FAECF,713480279996602A,7CB1EAE377CB926B,82D977416181506F,2020-09-22,7:25,|3A|,1,2020/9/20 22:24,0,22
D1065567E35A148E,7CCCAEE45A4E43DBDD90CBF2A4190C70,A484C800188EFA91,3F7B289D7DC9593B,439FA1C37E4CD8CF,82D977416181506F,2020-09-15,7:05,|5B|,1,2020/9/14 0:05,0,15
A63B11FAB1757CB0,6B79E18AA63B11FAB1757CB08EF4CE6A,85CDE4986C245CC7,ED37D5EF8A67EB1A,9384CFACAC2DDAD8,865B5C8F8FA7B4F4,2020-09-27,18:15,|2D|,1,2020/9/27 17:41,1,27
B283A781730ACDFE,FF519E44B283A781730ACDFECC2EFF3C,68289806BAB28501,A82492AC936016FD,42AF8AE1FD7EA0EE,CEB8786774DE6A6A,2020-09-16,18:12,|4A|,1,2020/9/16 18:07,1,16
DC93FE5DB8B9A33F,DF580B61DC93FE5DB8B9A33F065C89C3,AB449CC133B20A6B,8CB646F297C86FE6,42AF8AE1FD7EA0EE,0C82A0A399208172,2020-09-14,17:45,|3E|,1,2020/9/14 17:48,1,14
531A7E72453A0AEC,26BDA5EDFB25EC9A1BAF3F9D92B7E288,A484C800188EFA91,3F7B289D7DC9593B,D29200E1572EA776,82D977416181506F,2020-09-18,7:05,|4D|,1,2020/9/15 15:21,0,18
627334C3F2589B24,5FACCD7F627334C3F2589B249FFD0DA7,FF79F821F2C6F550,B089B3F5693C2091,D1CA25C1C26DD3D7,8BB81C7C5A390884,2020-09-22,17:50,|1B|,1,2020/9/22 16:57,1,22
62F81FB9134CC953,4727AA8562F81FB9134CC9539208DBEC,319E596473CBB697,774FAF25637BBC2A,310DCDFBE665F441,D6A0F793FDFC356E,2020-09-12,17:30,|5D|,1,2020/9/10 20:08,0,12
EF04A8F5878AD688,E937120CDBD2E2C823D16E1A537C4224,CAC037A2ABDF6024,8FD496C4BC411081,D61E4987769F0E26,498AB4B275766623,2020-09-23,18:20,|1B|2B|2A|,3,2020/9/23 17:40,1,23
0B7A74738932ABB7,23AF6A6B0B7A74738932ABB744B3E8E7,A26FD424FE3F1D04,6C5EB4AF61F2429A,82D977416181506F,AA015351E3DD1A98,2020-09-23,17:10,|3B|,1,2020/9/20 20:12,1,23
CEE5E9D4AAF1DDF6,B2425E75CEE5E9D4AAF1DDF6A05FA1DF,55BEA2946ABF6400,3286195C14416FA0,634BB358C7CBC88A,07C88E89ACB5F6D3,2020-09-15,6:57,|1D|,1,2020/9/10 16:04,0,15
172B66FEB9DC4271,5FC0805C172B66FEB9DC427192E787B5,BDD888BD7757683F,0660D0083B078B11,5B71D71F488DA805,82D977416181506F,2020-09-10,7:25,|2D|,1,2020/9/10 7:25,0,10
016397AE2957BA0D,98F973E0016397AE2957BA0DEA6A5A5E,978AF35EC5FC9D03,1BCC5369055805BF,22623CC6231DA2D5,AAA07C45BB250C09,2020-09-25,6:50,|8A|,1,2020/9/23 18:56,0,25
AF0956488FCF32EA,C03FB748AF0956488FCF32EA6F90EB6F,020B70D911C03CDA,C6EF415204F4BDD8,80A3532914F2B0D2,8ACD96505AFB102A,2020-09-24,7:38,|2E|,1,2020/9/21 9:03,0,24
B4DC6B29FFBFBC50,01FAFB52B4DC6B29FFBFBC50C4C6B6EE,FF79F821F2C6F550,9D046EE2409818C1,D1CA25C1C26DD3D7,B391D32B56423997,2020-09-16,19:10,|9D|9E|,2,2020/9/16 18:47,1,16
6FAE5F3B2F7A8BB7,ABE502956FAE5F3B2F7A8BB7B9CE1880,FF79F821F2C6F550,B089B3F5693C2091,D1CA25C1C26DD3D7,B391D32B56423997,2020-09-02,19:40,|3D|,1,2020/9/2 19:29,1,2
CF908102DF165F18,DC2D92D2EEF723552BBAC88DB0B19E02,55BEA2946ABF6400,3286195C14416FA0,FDC9AD7CAA161107,8239CB2223E4A1CC,2020-09-03,17:35,|1A|,1,2020/8/20 20:18,1,3
812FE2E27B7AA0A1,0051FD66812FE2E27B7AA0A1162A2609,AB449CC133B20A6B,8CB646F297C86FE6,543B7646C59E55F1,310DCDFBE665F441,2020-09-02,7:15,|7B|,1,2020/9/1 20:53,0,2
C5A9EF1BD7FB126B,E4F91B17C5A9EF1BD7FB126B2357D9B6,68289806BAB28501,A82492AC936016FD,3A8AFDA432366FFB,D94F8B97A49D0063,2020-09-02,7:35,|9E|,1,2020/8/30 23:41,0,2
B999A8D0E58DECE6,1F7BA882D3A3A7D40711A1EB6AC6CE62,AB449CC133B20A6B,8CB646F297C86FE6,0FD445E19AC5F6CF,C9559645A5A66F39,2020-09-18,17:45,|6D|,1,2020/9/18 15:11,1,18
0492AA5A4CE79D71,1FC9790707E33B5B04DEA63C6D6B3351,E4C4AD7B24EE61BD,08BC6A18682B29F4,FCCD74F4E4130E71,5A84B8EE5699DD6E,2020-09-23,8:30,|9E|,1,2020/9/23 8:47,0,23
AEFDE1E5FDB16226,04BFAE8FAEFDE1E5FDB162262A746A1A,AB449CC133B20A6B,07AFC0B9333D02A4,0FD445E19AC5F6CF,0C82A0A399208172,2020-09-03,18:00,|9E|,1,2020/9/3 17:48,1,3
B55D4BF4CE2282FB,DC4F08B1B55D4BF4CE2282FB7DA53C59,3CF6E855FF8DA9AC,BF1968B1009650C8,4A49446E09533B07,D7DD1515D49C5BF9,2020-09-01,17:25,|4D|,1,2020/9/1 17:04,1,1
9156E2A602C09A0A,430D16A79156E2A602C09A0A78AC5194,A26FD424FE3F1D04,6C5EB4AF61F2429A,82D977416181506F,AA015351E3DD1A98,2020-09-09,17:10,|8B|,1,2020/9/8 7:15,1,9
62A8062800004B29,44A0949362A8062800004B290A69A1EB,A02C7D64A5AD2330,C6D8C5B921E9620A,903C40D20E9C443A,DDFA28F195237BC2,2020-09-28,6:45,|8D|,1,2020/9/25 10:32,0,28
1F64A04CB3EB954D,AADFE6DD1F64A04CB3EB954D3F781186,AB449CC133B20A6B,8CB646F297C86FE6,22623CC6231DA2D5,3D76603EECA99DFB,2020-09-22,7:15,|8D|,1,2020/9/17 18:08,0,22
E3CDD17C434AED68,D84FDD4DE3CDD17C434AED6872333410,6BC9A7E72510FB3D,1B157B61C5287F7D,05FD56343947AE41,444575E5403761EB,2020-09-21,7:22,|6D|,1,2020/9/20 22:23,0,21
5A4372D1B8CAAF58,81D903385A4372D1B8CAAF58B23FD933,AB449CC133B20A6B,07AFC0B9333D02A4,0FD445E19AC5F6CF,0C82A0A399208172,2020-09-17,18:00,|1B|,1,2020/9/4 20:47,1,17
CFF51E53BD74E70B,ED3D9FC39DCC09D6E96EB46D026533CD,69713512428851E2,3FC7F239A99A257E,B618452034BFC268,A0EC1E49EDC848D4,2020-09-27,17:55,|5A|,1,2020/9/26 9:15,1,27
89DE3C691A5EBBEF,ECD959A36305F81DB5C59C2D46E7A5D4,CA776A97F60A36D1,4CCB7DBAD935C0A9,ABD584C22779E103,03937E06A61D8D1C,2020-09-25,18:20,|1B|,1,2020/9/25 17:35,1,25
7059B3823F4B3D8B,4BCB2B807059B3823F4B3D8B97D27841,738656CE925D3185,0B6CA90C4FD83B42,B391D32B56423997,65AF7648CCB20620,2020-09-25,7:30,|1D|,1,2020/9/24 7:36,0,25
FE0FAA57FD1CFD87,6B6A824AC6AD56D24339CC476F4490EA,85CDE4986C245CC7,ED37D5EF8A67EB1A,9384CFACAC2DDAD8,865B5C8F8FA7B4F4,2020-09-29,18:15,|5E|,1,2020/9/29 15:55,1,29
EAEB2DD6337FB1C2,A670B79CEAEB2DD6337FB1C2F732D0BE,050443DA43067C27,178BCE81B83E903B,82D977416181506F,04BADA3C5721167C,2020-09-01,17:10,|7B|,1,2020/9/1 16:28,1,1
5AC33B63A11ECBB6,A06FC8DF5AC33B63A11ECBB6D59CA422,8B7CD7C25D9ABD82,084D803C5C69F6C4,42AF8AE1FD7EA0EE,BEB9AD431D197448,2020-09-08,7:05,|5D|,1,2020/9/8 7:03,0,8
18A00542B1A624B7,C9628E2118A00542B1A624B780F16162,AF3D762AB8523FC3,606DD2F940CDFE4C,21D1A8A92D972D10,0F5194FEBFCD4F23,2020-09-25,17:15,|2D|,1,2020/9/25 17:08,1,25
C7AB0FB93B85128D,84CDE1CEC7AB0FB93B85128D9A482FC2,FF79F821F2C6F550,B089B3F5693C2091,D1CA25C1C26DD3D7,B391D32B56423997,2020-09-24,21:10,|1B|,1,2020/9/24 20:25,1,24
9A889E97393C5340,B4E5165C9A889E97393C5340A2CEA548,AF3D762AB8523FC3,5DC92066A8559DF4,05FD56343947AE41,958C3A6C3BCAB758,2020-09-25,7:50,|2A|,1,2020/9/25 7:27,0,25
1801663D56C829A4,0F5822601801663D56C829A4D55C9C23,9D5BFEC88C8B18B4,B9A8B5BC98C80986,0B1087427766E73B,82D977416181506F,2020-09-18,7:12,|10B|,1,2020/9/16 6:55,0,18
53A72391924003AF,F023F55A53A72391924003AF6C3D1C30,7FFED8F885B84129,519E9554120EA4B7,F828D3A4B9ECBC8B,D6A0F793FDFC356E,2020-09-08,7:20,|3A|,1,2020/9/8 7:31,0,8
