Name,Phone_number,Line_name,Bus_id,Date,Time,Booking_seat,Number_of_passengers,Booking_time,Up/Down,Day
D52117FB7537FCF7,FAF2EDB8D52117FB7537FCF7DDE5B313,CC9A7952F9D1E19B,064651EB8FFAC4DF,2019-01-21,7:45,|5B|,1,2019/1/17 7:44,0,21
37B5FE36492494F8,F7E8631F37B5FE36492494F83ACF2067,BF432E7211E6756E,9196CAFBB1403CF3,2019-01-18,18:20,|2D|,1,2019/1/18 17:44,1,18
5CB4F546E9C1E308,536604495CB4F546E9C1E308AF0BE828,7EE40EFEE323371A,6D79B66C3D689694,2019-01-24,9:55,|5D|,1,2019/1/23 19:14,0,24
C37C545E6DC9E398,B6016CECC37C545E6DC9E398CCF20E7F,389C0E9F84C2CF4E,56DBE2169ECFD0B8,2019-01-22,7:25,|2E|,1,2019/1/17 10:18,0,22
EEDEB3490FBB7C35,732F064CEEDEB3490FBB7C35241ED54D,54D8F1F5FAEA8D60,58EF3F97CF899C3A,2019-01-09,17:45,|5B|,1,2019/1/6 15:54,1,9
DAF10B89C2A1204A,6DAE944FDAF10B89C2A1204AC2EDA26E,C9930343B8394794,DAE1F984F1EBABF3,2019-01-07,6:45,|9B|,1,2019/1/6 19:12,0,7
EC3CA5B271DEB10A,3B847617EC3CA5B271DEB10A9D7DCD16,7EE40EFEE323371A,E4B857ABFE2C8AFE,2019-01-15,7:40,|5B|,1,2019/1/15 8:05,0,15
181F45766005D4B0,2C22A9AEF05AA599E99432A755C31B31,A02C7D64A5AD2330,B50BEFDAB7A5C877,2019-01-24,6:20,|1D|,1,2019/1/21 22:25,0,24
C4FCBA700A16D9EC,9920B3D5C4FCBA700A16D9ECA33A74C9,69262153568FA758,4971CFB96565695E,2019-01-09,7:10,|4E|,1,2019/1/7 22:41,0,9
6C854A176C282E08,9241D7C26C854A176C282E08F974A69D,24230547614FE0A7,253F4772F5BD3331,2019-01-09,8:00,|2D|,1,2019/1/8 23:14,0,9
9D2FC8182A368BC0,613E7A7A9D2FC8182A368BC0842A5781,0E338DE2349B9D8A,337C77E3626DF726,2019-01-02,7:10,|1B|,1,2019/1/2 6:21,0,2
2A3EE26918373A91,7249DBF82A3EE26918373A91654E5E34,DAB1FCBB48ECB28A,8EE89C598ABEEC99,2019-01-28,18:30,|3B|,1,2019/1/28 18:05,1,28
