Name,Phone_number,Line_name,Car_id,Boarding_station,Alighting_station,Date,Time,Booking_seat,Number_of_passengers,Booking_time,Up/Down,Day
A3A9B74F49904E8C,9A847D2AA3A9B74F49904E8CBF2E056D,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-15,21:10,|1D|,1,2020-02-15 20:44:56,1,15
4DC4A64D51352F55,E94560BF4DC4A64D51352F55C55615C9,DF631BFE99474EEC,781E932CB7C8314F,99DD7EEE7C2FA421,82D977416181506F,2020-02-24,07:25,|5A|,1,2020-02-24 07:10:59,0,24
AA1921D8B2407155,E5465B4BAA1921D8B240715540EE46C2,571CE775641F785C,67BC5619802C6E85,96FC21D91B0105C9,8DC32119AFD963B7,2020-02-24,07:40,|7B|,1,2020-02-21 19:51:53,0,24
F8B90FCEA17F141A,753AD746F8B90FCEA17F141AB9E91131,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-01,08:00,|9A|,1,2020-01-17 08:32:16,0,1
4C3680CA1DF6563E,300842324C3680CA1DF6563E81426D20,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-26,18:50,|8D|,1,2020-02-26 18:39:13,1,26
5D60115F29A61F86,88130C775D60115F29A61F86B2E806E8,CDBAF370B9F0644B,A82DCC5AB6F8AA30,D6A0F793FDFC356E,A6F32F2AB602223E,2020-02-26,16:28,|11D|,1,2020-02-26 13:21:43,1,26
91EE8CE2ED1A3A72,286CE13B91EE8CE2ED1A3A720FD6AEBE,CDBAF370B9F0644B,A82DCC5AB6F8AA30,D6A0F793FDFC356E,A6F32F2AB602223E,2020-02-20,16:28,|3D|,1,2020-02-03 13:06:19,1,20
58A516001FE566B5,F794DEBB58A516001FE566B5C9CBEFE9,F5AE13D8C2BCF641,BECA44B21335B105,FCA160BCDAE37D50,F32391D16F35E61F,2020-02-12,07:25,|5C|,1,2020-02-09 13:24:34,0,12
382D86B901AE319A,A9C549DBC16B5559454DA37467A92580,6F44A9D27A85F1AF,2CD180DD22078E9F,82D977416181506F,43811E6E8CC0F3C0,2020-02-17,17:10,|6A|,1,2020-02-13 15:04:05,1,17
89FDF4AB053A7743,7C3BF2EE803AC16E35050657347606E2,B929E7A58C958751,356731300B8BD75D,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-28,08:30,|6D|6E|,2,2020-02-27 22:29:46,0,28
4BD2C4FF32FCB3A2,229C02084BD2C4FF32FCB3A2AE241DC4,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-12,08:00,|1A|,1,2020-01-23 11:27:26,0,12
4C6FE67837AE7E4B,E0492CFB4C6FE67837AE7E4BA86EBE0E,7FFED8F885B84129,519E9554120EA4B7,F828D3A4B9ECBC8B,A6985A9E717D85E6,2020-02-26,07:20,|9D|,1,2020-02-26 07:01:54,0,26
D0D9AB83DE3481B1,D10055EEC2FF6E04C8FEFA6FD9F6A088,2328D56837C35E58,6231107D1665415C,4F85B4DC4003EF06,82D977416181506F,2020-02-28,07:10,|10B|,1,2020-02-28 06:52:27,0,28
C5D8B1E1AF37F201,1787D8DBC5D8B1E1AF37F20151DE4F77,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-03,08:00,|1D|,1,2020-01-20 08:21:43,0,3
17B371DF9F106C71,2210644217B371DF9F106C716215AEC5,08B42A59C5D27BF7,C04F1CEAEE3DA4D8,82D977416181506F,F9A2FEF53237440C,2020-02-26,17:10,|4D|,1,2020-02-26 17:02:14,1,26
5BC843ABEC7BD7AD,B7016F2A5BC843ABEC7BD7ADF2AB33D1,7FFED8F885B84129,519E9554120EA4B7,30662F97078EA4D1,F828D3A4B9ECBC8B,2020-02-10,16:28,|7E|,1,2020-02-07 15:52:23,1,10
D37637BDFD7C333C,FD68DF97D37637BDFD7C333CA51EEA88,A484C800188EFA91,8229F12044F78D0D,82D977416181506F,78FDDACB11F2A2FC,2020-02-27,17:10,|5A|,1,2020-02-27 16:46:21,1,27
7615E10C090BA846,5C47A8CB7615E10C090BA846ED288BC2,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-03,08:00,|8D|,1,2020-01-22 14:04:59,0,3
91EE8CE2ED1A3A72,286CE13B91EE8CE2ED1A3A720FD6AEBE,CDBAF370B9F0644B,F6FC713232C12026,D6A0F793FDFC356E,A6F32F2AB602223E,2020-02-07,16:28,|3D|,1,2020-01-26 17:14:12,1,7
917B6A3F845F1CB4,8339F644917B6A3F845F1CB4541E3EB5,B929E7A58C958751,CC454F94DD64A721,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-24,08:20,|1B|1A|,2,2020-02-23 22:26:41,1,24
57605B26B3062E51,FF074BCA57605B26B3062E51CC5D37DE,AEF69E317BDD2FEB,3B5B4F3543AEDC96,67C538EF3854DB47,F22BFC92942DF8D9,2020-02-25,08:20,|9E|9D|,2,2020-02-20 17:54:13,0,25
E195219997A3AF77,7BBAFBE2E195219997A3AF77FCDFB94A,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-12,18:50,|2A|,1,2020-02-12 18:34:13,1,12
E87AA768FE99F4A5,F32DBB3CE87AA768FE99F4A5EE86D1C8,B929E7A58C958751,356731300B8BD75D,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-02,08:40,|1D|,1,2020-01-30 23:52:16,0,2
36E6A2CCD40DCEBC,B442F08736E6A2CCD40DCEBC3A1D4EA2,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-14,08:00,|2E|,1,2020-01-23 11:46:12,0,14
AB48ACA6DF4366FA,B0D80196AB48ACA6DF4366FA68649D26,D1066910B3BB3772,88FBC58780452455,3F306A70F2E27C4D,82D977416181506F,2020-02-24,07:20,|5D|,1,2020-02-21 16:53:26,0,24
70D350F3733AB555,BE926F7370D350F3733AB55509D64DE1,B929E7A58C958751,356731300B8BD75D,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-28,18:10,|2D|,1,2020-02-28 17:56:44,1,28
D37637BDFD7C333C,FD68DF97D37637BDFD7C333CA51EEA88,A484C800188EFA91,8229F12044F78D0D,82D977416181506F,78FDDACB11F2A2FC,2020-02-25,17:10,|3A|,1,2020-02-25 16:37:02,1,25
B2C50962F35219CB,4729248EB2C50962F35219CBD44FF6DE,571CE775641F785C,67BC5619802C6E85,30662F97078EA4D1,96FC21D91B0105C9,2020-02-28,16:28,|1B|,1,2020-02-21 12:57:42,1,28
5428AB2E40D0F6BC,A286A0EE5428AB2E40D0F6BC7112A3EA,B929E7A58C958751,CC454F94DD64A721,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-14,08:50,|1B|,1,2020-02-13 23:18:38,0,14
99D6223E90B9E372,7DC9645F99D6223E90B9E3727266E4B3,B929E7A58C958751,4486EC31935E8E98,BB6863E7D3987C29,098BA1672AC21CEE,2020-02-10,18:50,|1D|,1,2020-02-10 18:45:59,1,10
4C54650CB854C7F1,EF681CBE4C54650CB854C7F140748912,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-13,22:10,|1D|,1,2020-02-13 19:08:16,1,13
F927A38ABC967896,CBC51322BA822C1A84B7E1524FF81CFC,4D9F5FB800F29DEF,5F10F9FC03201691,82D977416181506F,E6B622A9E8B76B60,2020-02-28,17:10,|3A|,1,2020-02-28 17:02:50,1,28
F089A9FB7AE06FDC,4F3A218CF089A9FB7AE06FDC3508B099,5033083AEFCBFE61,2F6904466B0ADFC0,01AE02DD8366C4A1,D6A0F793FDFC356E,2020-02-17,07:15,|6B|,1,2020-02-16 20:25:27,0,17
DEF0D525C3E37527,AA6C701ADEF0D525C3E375270BF1A34E,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-19,19:40,|6A|,1,2020-02-19 19:19:13,1,19
FD9D70D027F721DF,B2D93E05FD9D70D027F721DF857D62CC,0600DE4D8D6B152F,F7739336A5F629D6,82D977416181506F,6A6264804262372C,2020-02-24,17:10,|6E|,1,2020-02-24 16:51:27,1,24
827BDD4D8A6A00D2,8430EA88827BDD4D8A6A00D22907C287,9D5BFEC88C8B18B4,B9A8B5BC98C80986,82D977416181506F,BE69BDBB68302393,2020-02-25,17:10,|7E|,1,2020-02-25 16:45:36,1,25
0758050C9E677E84,3E3F38ED0758050C9E677E84BC6982F0,B929E7A58C958751,0D3A8C4DB791F151,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-12,19:10,|2B|,1,2020-02-12 18:22:29,1,12
CD272F387511FFC3,A1C5855954B500C23A342A3529570D1C,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-14,21:10,|1B|,1,2020-02-14 20:50:26,1,14
93D8B6D704E3FBF4,692325F993D8B6D704E3FBF454DE6EA0,571CE775641F785C,67BC5619802C6E85,96FC21D91B0105C9,8DC32119AFD963B7,2020-02-18,07:40,|7B|,1,2020-02-17 15:08:52,0,18
682DF1F1ABE600E5,20BEEB60682DF1F1ABE600E50796B058,2E469964C413D5EF,5E7575428A726CEC,220C5048326170AF,F22BFC92942DF8D9,2020-02-24,08:33,|8B|,1,2020-02-20 14:13:44,0,24
9D58BA03C3178CBD,E62AFF439D58BA03C3178CBDE80434B7,F87F06166E3D11FD,E08702F92DFD3237,82D977416181506F,682F0A2F668C1C06,2020-02-26,17:10,|9B|,1,2020-02-26 16:46:03,1,26
36E6A2CCD40DCEBC,B442F08736E6A2CCD40DCEBC3A1D4EA2,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-12,08:00,|1B|,1,2020-01-23 11:44:49,0,12
F222418DA3520D0C,7666ADBEF222418DA3520D0CE8D17E50,0600DE4D8D6B152F,F7739336A5F629D6,82D977416181506F,6A6264804262372C,2020-02-25,17:10,|3E|,1,2020-02-25 16:49:32,1,25
80B8F29651E8502F,448EA42B765D15EE93F2F9AA660D2272,B929E7A58C958751,0BAF984F14AF891D,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-21,16:00,|1B|,1,2020-02-21 15:44:32,0,21
1EEF6B20C97A1BEA,FDF47DB81EEF6B20C97A1BEA8BCBC1C4,0600DE4D8D6B152F,F7739336A5F629D6,82D977416181506F,6A6264804262372C,2020-02-28,17:10,|7E|,1,2020-02-28 17:03:55,1,28
F2EA9995DB982D5D,91204F6EF2EA9995DB982D5D8191C0B2,571CE775641F785C,67BC5619802C6E85,96FC21D91B0105C9,8DC32119AFD963B7,2020-02-24,07:40,|1D|,1,2020-02-24 06:45:27,0,24
889C60B0802E7936,46F74710D91A3868822D7A4DFF7C3AEE,4D9F5FB800F29DEF,5F10F9FC03201691,04BDDC9FD3D16145,82D977416181506F,2020-02-24,07:10,|5D|,1,2020-02-23 19:43:54,0,24
5BC843ABEC7BD7AD,B7016F2A5BC843ABEC7BD7ADF2AB33D1,7FFED8F885B84129,519E9554120EA4B7,F828D3A4B9ECBC8B,30662F97078EA4D1,2020-02-25,07:20,|4A|,1,2020-02-24 16:29:33,0,25
E5750A9C74FBEA71,B6A0DC5CE5750A9C74FBEA71E4FF041C,5033083AEFCBFE61,2F6904466B0ADFC0,01AE02DD8366C4A1,D6A0F793FDFC356E,2020-02-26,07:15,|9E|,1,2020-02-25 16:38:44,0,26
06007F75C42618BF,14B10F8F06007F75C42618BF0C033A93,B929E7A58C958751,CC454F94DD64A721,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-28,07:10,|6B|6A|,2,2020-02-28 06:06:19,0,28
25835023B84E9A23,C988672F25835023B84E9A23E9F89064,1CFF69F65E39CD80,A4597461B78F76DA,783663DBE0598FB3,82D977416181506F,2020-02-27,07:10,|5B|,1,2020-02-26 20:30:31,0,27
F5B9DA918908F696,6162E913F5B9DA918908F696B0AE8DF3,9D5BFEC88C8B18B4,B9A8B5BC98C80986,0B1087427766E73B,82D977416181506F,2020-02-27,07:12,|2B|,1,2020-02-26 14:38:07,0,27
8D377D8732C4111D,98F80EC28D377D8732C4111DEFF3AC85,1CFF69F65E39CD80,A4597461B78F76DA,82D977416181506F,CC3D8A1D7897014C,2020-02-28,17:10,|1E|,1,2020-02-26 17:03:57,1,28
9F5111EC565F029D,A585F5CA9F5111EC565F029DC59750D6,D1066910B3BB3772,88FBC58780452455,3F306A70F2E27C4D,82D977416181506F,2020-02-27,07:20,|6A|,1,2020-02-26 07:20:27,0,27
DD786F4DED7C3EA8,483535EDDD786F4DED7C3EA82824CF67,B929E7A58C958751,CC454F94DD64A721,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-20,06:40,|2B|,1,2020-02-19 17:34:02,0,20
43DD10DB220DB78B,A33F94F243DD10DB220DB78B2DBF02DD,B929E7A58C958751,0D3A8C4DB791F151,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-27,17:30,|7B|,1,2020-02-27 17:16:47,1,27
4C3680CA1DF6563E,300842324C3680CA1DF6563E81426D20,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-19,18:50,|4D|,1,2020-02-19 18:43:36,1,19
B0127840464DB91B,9F5139AFB0127840464DB91BF1CE2C81,5033083AEFCBFE61,2F6904466B0ADFC0,8DC32119AFD963B7,11272DC12BF69C42,2020-02-26,16:28,|1E|,1,2020-02-25 07:23:08,1,26
B4DC6B29FFBFBC50,01FAFB52B4DC6B29FFBFBC50C4C6B6EE,B929E7A58C958751,356731300B8BD75D,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-18,07:50,|2D|,1,2020-02-18 00:10:01,0,18
A94B0ED36136241B,30A38515A94B0ED36136241B8F61306F,AEF69E317BDD2FEB,3B5B4F3543AEDC96,67C538EF3854DB47,F22BFC92942DF8D9,2020-02-24,09:05,|5D|,1,2020-02-20 16:34:42,0,24
CA7122A270054FB9,B7909734CA7122A270054FB97ECA2EC3,B929E7A58C958751,356731300B8BD75D,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-20,08:40,|3B|,1,2020-02-19 20:14:08,1,20
D035AA5A5088E4AC,59C1168BD035AA5A5088E4AC48D4EBA3,CDBAF370B9F0644B,A82DCC5AB6F8AA30,A6985A9E717D85E6,0F972995EC28E077,2020-02-28,16:28,|5B|,1,2020-02-28 14:31:48,1,28
BF781091E85D63F8,3DDADCD7C8C77692B5E28D14BC22A927,F87F06166E3D11FD,E08702F92DFD3237,D8642845D041FD35,82D977416181506F,2020-02-28,07:05,|6B|,1,2020-02-27 07:21:21,0,28
78613E1292FBBB77,4A116CD878613E1292FBBB77C63FE514,B929E7A58C958751,0D3A8C4DB791F151,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-10,17:20,|6D|,1,2020-02-09 21:02:23,0,10
79C95257C842391A,EF01DD6E79C95257C842391ACDE590B3,571CE775641F785C,67BC5619802C6E85,A6985A9E717D85E6,96FC21D91B0105C9,2020-02-18,16:28,|2A|,1,2020-02-14 07:43:30,1,18
F222418DA3520D0C,7666ADBEF222418DA3520D0CE8D17E50,0600DE4D8D6B152F,F7739336A5F629D6,6CAD73A7A668B790,82D977416181506F,2020-02-26,07:30,|4E|,1,2020-02-26 06:54:37,0,26
9D2FC8182A368BC0,613E7A7A9D2FC8182A368BC0842A5781,B929E7A58C958751,CC454F94DD64A721,098BA1672AC21CEE,D1CA25C1C26DD3D7,2020-02-12,07:30,|1B|,1,2020-02-11 06:53:46,0,12
3CCBE57AA335AF65,53D86DF83CCBE57AA335AF653D7D0FD2,E23AAB625F1C1F93,87E22D89433B0B36,C73B2C97C355A8DD,C75474E4DA689DE9,2020-02-05,08:00,|1E|,1,2020-01-22 08:19:53,0,5
FC6F47D375A34A19,0E1301E08C6268E921CAA9F3CF0DFA19,A26FD424FE3F1D04,93E4B82D6F3A0CF7,D12B101752097380,82D977416181506F,2020-02-20,07:05,|1D|,1,2020-02-19 09:57:34,0,20
5BC843ABEC7BD7AD,B7016F2A5BC843ABEC7BD7ADF2AB33D1,7FFED8F885B84129,519E9554120EA4B7,30662F97078EA4D1,F828D3A4B9ECBC8B,2020-02-13,16:28,|6E|,1,2020-02-13 07:11:59,1,13
EA08E7F6256F1A97,9E982F5DEA08E7F6256F1A971B3992FA,F87F06166E3D11FD,E08702F92DFD3237,82D977416181506F,682F0A2F668C1C06,2020-02-26,17:10,|8D|,1,2020-02-24 07:24:49,1,26
DF4CF84364DC3F0E,8C6CE9C0DF4CF84364DC3F0E11AEFC2A,B929E7A58C958751,4486EC31935E8E98,D1CA25C1C26DD3D7,098BA1672AC21CEE,2020-02-26,19:40,|5B|,1,2020-02-26 18:41:03,1,26
