Car_id,Bus_model
2D424D2DA9889078,368BB2EF1243A436
4729E9BB4CA04DFC,C9B79EBF778FE972
8A91817061C39711,368BB2EF1243A436
E9596A8D4521D37E,C364D5CFCE27A115
09D763973E721F19,C364D5CFCE27A115
D928A193FD12B4BA,368BB2EF1243A436
D928A193FD12B4BA,368BB2EF1243A436
B0054A39E97C679D,99BA9780D7CEBA09
B4AACC9E8AEA31E1,99BA9780D7CEBA09
6F18206687BEAE47,99BA9780D7CEBA09
B653DD4A635A0A2D,C364D5CFCE27A115
DD3B90933276212F,897D8CD74D249C84
D522D7387057E48A,C364D5CFCE27A115
9D31999A1A402F15,C364D5CFCE27A115
1165F7BE132F2F8F,99BA9780D7CEBA09
A17EC79350391618,C364D5CFCE27A115
124673A6867312CB,C364D5CFCE27A115
2CD180DD22078E9F,460ABAE584E27A2A
04F6F952F4D56672,368BB2EF1243A436
69458973F5880A59,5CE8EFB41E0515D7
788F3B309749ECC3,5BD6A4EE56A73320
6499BE0C0C282D10,C480E8072B31DD9A
6499BE0C0C282D10,C480E8072B31DD9A
1369F8B817670295,5CE8EFB41E0515D7
1369F8B817670295,5CE8EFB41E0515D7
51D95A0A4C4A4818,5BD6A4EE56A73320
63E684C74B4A0FF1,8D88EA131D85C17E
77BC50CBAD3160C2,5CE8EFB41E0515D7
88A21178ABAD48DB,8D88EA131D85C17E
63C9CF3E2D350B28,75556553A5F08E4C
63C9CF3E2D350B28,75556553A5F08E4C
5FB98EC64C07CB43,75556553A5F08E4C
5FB98EC64C07CB43,75556553A5F08E4C
BEC647FFD09856FF,8D88EA131D85C17E
7FC2D80BD14FF838,8D88EA131D85C17E
A2602405C160D27A,368BB2EF1243A436
3DABCC73F283AF93,A548C152FF0DE9AB
AB9ACEE374AB5F79,368BB2EF1243A436
019720F0AE323EB2,B809AC58BAE3BD93
019720F0AE323EB2,B809AC58BAE3BD93
6379B2EB60E03A5F,137346825DFD71FE
C49FD698E3CC5A97,5BD6A4EE56A73320
CE0529B0A7204E14,368BB2EF1243A436
F72A1A02D9FAFBC6,8D88EA131D85C17E
